188.132.221.52:8080 TR
175.103.38.194:7777 ID
218.60.0.220:80 CN
31.133.0.163:33033 PL
103.191.218.255:8087 ID
128.199.118.49:9090 SG
116.80.84.43:3128 JP
162.240.154.26:3128 US
116.80.47.21:3128 JP
146.190.80.158:9090 SG
79.175.176.254:3128 IR
103.166.158.213:8080 ID
157.120.44.212:3128 JP
103.170.97.209:7777 ID
86.104.75.109:1080 MD
116.80.84.45:3128 JP
116.103.26.136:3128 VN
185.113.139.70:3128 PL
128.199.121.61:9090 SG
128.199.119.67:9090 SG
187.216.139.242:8181 MX
104.248.151.93:9090 SG
152.42.186.41:9090 SG
