177.21.100.156:60606 BR
117.54.231.22:5678 ID
203.150.113.234:14153 TH
105.214.79.197:5678 ZA
63.76.255.180:5678 US
65.49.82.7:55079 US
93.157.193.139:5678 BA
80.251.250.46:60606 CZ
178.255.44.60:48283 PL
167.71.218.223:53283 SG
185.148.215.74:60606 CZ
5.39.69.35:46544 FR
176.119.158.98:1080 RU
173.249.31.67:64489 DE
92.204.135.37:52015 US
178.255.44.60:26691 PL
103.5.3.41:1080 PH
85.187.5.66:60606 BG
85.116.120.106:3629 RU
105.214.106.146:5678 ZA
196.0.87.98:5678 UG
167.71.218.223:8811 SG
188.165.252.198:24866 FR
117.102.72.114:4153 ID
92.204.135.37:39957 US
109.238.12.156:32798 FR
93.117.72.27:55770 MD
94.232.125.200:5678 LT
92.204.135.37:56247 US
105.214.49.116:5678 ZA
118.70.212.110:60606 VN
92.204.135.37:23049 US
46.105.105.223:15640 FR
68.183.16.227:58191 US
5.172.188.97:60606 PL
37.221.202.84:33333 KZ
178.255.44.60:10472 PL
31.145.83.250:60606 TR
186.47.213.158:5678 EC
88.192.115.181:80 FI
109.123.254.43:63756 DE
178.79.165.164:39492 GB
218.24.16.198:36180 CN
210.54.90.67:60606 NZ
105.214.58.240:5678 ZA
122.15.255.229:60606 IN
90.156.142.26:51927 RU
203.156.190.5:5678 TH
122.3.139.85:1080 PH
92.38.32.106:7398 RU
91.92.80.199:4145 BG
144.217.253.110:37516 CA
188.165.252.198:18720 FR
188.165.192.99:22163 FR
178.255.44.60:18451 PL
91.192.25.158:4145 IT
5.161.149.49:45116 US
185.163.165.148:60606 ES
196.0.111.194:48009 UG
116.99.59.102:1080 VN
182.48.93.129:8080 BD
66.29.138.31:50345 US
65.49.82.7:59207 US
188.165.192.99:60013 FR
109.123.254.43:45304 DE
103.151.155.18:11080 ID
5.39.69.35:29690 FR
92.204.135.37:36069 US
85.163.43.208:60606 CZ
90.156.142.57:37176 RU
109.123.254.43:37290 DE
162.241.73.195:48272 US
109.160.97.49:4145 BG
51.68.230.210:62164 GB
64.64.152.248:39593 US
125.227.169.85:38157 TW
167.71.218.223:7467 SG
167.172.138.48:33686 US
162.241.73.195:48543 US
